Food,Serving Size,Serving Unit,Label Units,Measure,Sodium (mg),Potassium (mg),Protein (g),Calories,Cholesterol (mg),Carbs (g),Fat (g),Sat Fat (g),Mono Fat (g),Poly Fat (g),Sugar (g),Calcium (mg),Magnesium (mg),Iron (mg),USDA,Source
Alessi BreadSticks (1),7,Defined Portion,1,stick,57.5,15,1,25, -   ,5,0.3, -   , -   , -   , -   ,2, -   ,,,
"Apples, gala, with skin, raw",100,Standard Weight,100,gram,0.2788,105.9,0.1328125,,,14.7680875,0.15,,,,,6.639,4.947,0.06013,,
"Apples, red delicious, with skin, raw",100,Standard Weight,100,gram,0,95.31,0.1875,,,14.7817,0.2125,,,,,4.656,4.695,0,,
"Bananas, ripe and slightly ripe, raw",115,Defined Portion,1,Banana,0,326,0.74,97,,23,0.29,,,,,5,28,0,,
"Beans, black, canned, sodium added, drained and rinsed",100,Standard Weight,100,gram,217.9,253.1,6.9125,,,19.8135,1.273,,,,,43.31,32.54,1.688,,
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",100,Standard Weight,100,gram,172.3,226.9,7.8,,,21.03,1.256,,,,,56.94,29.31,1.439,,
"Black Beans (1 cup, cooked)",,,1,cup,2,611,15,227, -   ,40,1,0.3,0.2,0.3, -   ,80,120,,,
"Black Coffee (1 cup, no sugar)",,,1,ounce,5,116,0.2,2, -   , -   ,0.1, -   , -   , -   , -   ,4,7,,,
,,,,,300,,,,,,,,,,,,,,,
Arnold Brick Oven Premium White Bread,33,Defined Portion,1,slice,180,25,2,90,0,17,1.5,0,0,0.5,2,25,0,3.36,,
Brown Rice(1/4 cup),,,0.25,cup, -   ,115,5,170,,34,1.5,,,, -   ,16,0,,,
"Butter, stick, salted",100,Standard Weight,100,gram,524,23,,,235,,82.2,45.6,16.9,2.52,,21,1.6,0.06,,
Cantaloupe (per ounce), 29 ,Defined Portion,1,ounce,4.4,73.7,0.2,9.3, -   ,2.3,0.1, -   , -   , -   ,2.2,3.3,3.4,,,
Cashews (per ounce),,,1,ounce,110,190,5,160, -   ,120,12,2,,10,2,10,85,,,
"Cashews, Happy Belly Brand, Roasted, Salted (per ounce)",28,Defined Portion,1,ounce,120,170,5,160, -   ,8,13,2.5,7,2.5,2, -   ,85,1.7,,
