food_code,food_description,number_of_servings,measure_description,gram_weight
11100000.0,"Milk, NFS",1.0,Per 100g,100.0
11100000.0,"Milk, NFS",1.0,1 cup,244.0
11100000.0,"Milk, NFS",1.0,1 fl oz,30.5
11100000.0,"Milk, NFS",1.0,1 individual school container,244.0
11100000.0,"Milk, NFS",1.0,Guideline amount per fl oz of beverage,2.5
11100000.0,"Milk, NFS",1.0,Guideline amount per cup of hot cereal,61.0
11100000.0,"Milk, NFS",1.0,Quantity not specified,244.0
11111000.0,"Milk, whole (Includes: leche fresca)",1.0,Per 100g,100.0
11111000.0,"Milk, whole (Includes: leche fresca)",1.0,1 cup,244.0
11111000.0,"Milk, whole (Includes: leche fresca)",1.0,1 fl oz,30.5
11111000.0,"Milk, whole (Includes: leche fresca)",1.0,1 individual school container,244.0
11111000.0,"Milk, whole (Includes: leche fresca)",1.0,Guideline amount per fl oz of beverage,2.5
11111000.0,"Milk, whole (Includes: leche fresca)",1.0,Guideline amount per cup of hot cereal,61.0
11111000.0,"Milk, whole (Includes: leche fresca)",1.0,Quantity not specified,244.0
11112110.0,"Milk, reduced fat (2%)",1.0,Per 100g,100.0
11112110.0,"Milk, reduced fat (2%)",1.0,1 cup,244.0
11112110.0,"Milk, reduced fat (2%)",1.0,1 fl oz,30.5
11112110.0,"Milk, reduced fat (2%)",1.0,1 individual school container,244.0
11112110.0,"Milk, reduced fat (2%)",1.0,Guideline amount per fl oz of beverage,2.5
11112110.0,"Milk, reduced fat (2%)",1.0,Guideline amount per cup of hot cereal,61.0
11112110.0,"Milk, reduced fat (2%)",1.0,Quantity not specified,244.0
11112210.0,"Milk, low fat (1%)",1.0,Per 100g,100.0
11112210.0,"Milk, low fat (1%)",1.0,1 cup,244.0
11112210.0,"Milk, low fat (1%)",1.0,1 fl oz,30.5
11112210.0,"Milk, low fat (1%)",1.0,1 individual school container,244.0
11112210.0,"Milk, low fat (1%)",1.0,Guideline amount per fl oz of beverage,2.5
11112210.0,"Milk, low fat (1%)",1.0,Guideline amount per cup of hot cereal,61.0
11112210.0,"Milk, low fat (1%)",1.0,Quantity not specified,244.0
11113000.0,"Milk, fat free (skim)",1.0,Per 100g,100.0
11113000.0,"Milk, fat free (skim)",1.0,1 cup,244.0
11113000.0,"Milk, fat free (skim)",1.0,1 fl oz,30.5
11113000.0,"Milk, fat free (skim)",1.0,1 individual school container,244.0
11113000.0,"Milk, fat free (skim)",1.0,Guideline amount per fl oz of beverage,2.5
11113000.0,"Milk, fat free (skim)",1.0,Guideline amount per cup of hot cereal,61.0
11113000.0,"Milk, fat free (skim)",1.0,Quantity not specified,244.0
11114300.0,"Milk, lactose free, low fat (1%)",1.0,Per 100g,100.0
11114300.0,"Milk, lactose free, low fat (1%)",1.0,1 cup,244.0
11114300.0,"Milk, lactose free, low fat (1%)",1.0,1 fl oz,30.5
11114300.0,"Milk, lactose free, low fat (1%)",1.0,Guideline amount per fl oz of beverage,2.5
11114300.0,"Milk, lactose free, low fat (1%)",1.0,Guideline amount per cup of hot cereal,61.0
11114300.0,"Milk, lactose free, low fat (1%)",1.0,Quantity not specified,244.0
11114320.0,"Milk, lactose free, fat free (skim)",1.0,Per 100g,100.0
11114320.0,"Milk, lactose free, fat free (skim)",1.0,1 cup,244.0
11114320.0,"Milk, lactose free, fat free (skim)",1.0,1 fl oz,30.5
11114320.0,"Milk, lactose free, fat free (skim)",1.0,Guideline amount per fl oz of beverage,2.5
11114320.0,"Milk, lactose free, fat free (skim)",1.0,Guideline amount per cup of hot cereal,61.0
11114320.0,"Milk, lactose free, fat free (skim)",1.0,Quantity not specified,244.0
